summonerId,accountId,puuid,profileIconId,revisionDate,summonerLevel,leaguePoints,rank,wins,losses,veteran,inactive,freshBlood,hotStreak
_zqqWY77E_mdfbsegmoxtxL9rBimuVXDBbDd4L6XBXERjGI,HpXVec1TmHhyMfXkE7y2tKGkwHSWDgwsaqlEaNCC51dDUNforfi6I5J6,Bdik0Sf0U3zEqqKnyXXysx6ExlLvD-b7LBbmTcMEI0PLVgU8Jgz0UGZX-Ec9dYbnJqSUepWAqcxuJQ,5952,1731706870881,764,893,I,202,167,False,False,False,False
CUqJCGq4tB3fQgdps4R4F0aBdF-RoBavXnJb90bR_uc2874qBKGwrAMMFA,2AY7-zWokImY9zmehExNypogY38OChVDcmBGgF6hC15U7t9VzRlCHzKP,oIjO5pPC8Wdb9SZRcc_yCzB29R6lGAIPU6xcvBsDolgt7LnFO61BjxSYxdusmLl4a472zMQiuUmznQ,4074,1731617625000,483,893,I,176,144,False,False,True,False
f-0BdDCG-psHwaHeW9KZS9FWIHtrS_IxHPzVZffIPSj58WutQhsov_P2lQ,5lrxGJximCRRzTIJjcz-ek5uZLcZ9WFCW9rS11VoyIgbNpjtiNmvdlmN,UKx-rlsGhVejA4dKMfWxjTkFN6E07eA5t4nmEM_l9ihuqqyDHlPiAl7FVoJE_bzcv9Hdke29GjX1DA,3840,1731751335280,262,892,I,258,211,False,False,True,False
_CJpueMKjRgagPSbVujtqeLSQC9iHTfbfTrL3hKEQ2SfsHo,BsvVyksXUD5I_DXPRP6VT7_qGDArN_mLKjHCKQtq8cZcdrEAkbh6408Y,lcoUtie7-HyXbvCkVPZKIMrRKyXsGAS15H6RdBnERCh9VfzNIzYysVFjtoT4qE08xHaOK2f2lCRtNQ,4964,1731707411716,1002,891,I,146,112,False,False,True,True
Ux4YZ_bYSUr9Bu4Eoo7gVLo82VSv0JBYDWvPpfuhjckfofw,2ObbJYcvPpcBnreYBuB8mBRuiGRNIbeiiPwsdIQFGLAZTtU,PifDKX1SWHgjHHf7rmTbQIOs-7RAJ37N0G03bNb9ROiVm99U1rKmt0iLS6YgT1Clu0xee4XVBsn0Qg,6350,1731743956998,1071,890,I,246,210,False,False,False,False
mLy2GZJ2yyajyrTDZqjPW0pDzJ86HuN7VYJpURb_QW0yCSfFFO30FUuDiA,P8mS4efFpXIqpmpv4LUMHQ3AXISvtZq9RtPBk0MBi8SKn5UPk1kzwY7t,_zk1S8B3wJ4tHdnM-3-Ee05OduWk-gECOS-DxDM8UnBEPxKVKY6Ia34gzKkHAfdd21Tx0Z5R9FRg5w,5494,1731679398707,561,890,I,193,165,True,False,False,False
28UVkFf0iguuMD__41f-G83iTeauIFErOv0Gbbwrk4Sa1wNeGR3YCWrnew,LT6RlD4t56C3f2LChRnnpSyezbp2og4Uv-JJU6wPwVv-3oAs3Fg2z_EO,bnm3GgscjoYS19-p92qM9L2c1DdWDnWd7GKvUbM4aKLDtZDdiqsM8iYj-XNlE6gvIoLaJgbwiVxE1A,6504,1731746637429,211,890,I,105,65,False,False,True,False
I-TgJg7W8z0svioSGpVFvD3i2zG3-4K4U3fbJn2QNMqZfio,CueYkOba9cRxChchgSg5-32ZenFDuTs3KnHD7vw_z47fWZo,wEZk0G-WXpshQMsls74y4Z7Fe5FV9bI32nZfjk4KRhf9YZsACvlhvdu2ieH2_04UQkHd0PhKeOpNiQ,3791,1731751355907,1256,885,I,243,212,True,False,False,False
ntPg47Le3g2YtzUqBC3mE0y30g0ZpGWt7ZEIIWm2BATvKOdb75BocLDX_A,Bi3t0b3Fn_JS7shJENFWGoReUvQ9WqBcDIcZHBQ7pyH2lt1pWgEzDt5Y,EBP5d77LxhXMi88aKYmEjgWdxMNnVArVNBtJ5_XJilaGfRiGvz46d-CGvB9pFvI5ICwnwAxvPKB4TA,6298,1731679458000,321,884,I,117,84,False,False,False,False
x2uCLcXy6E_braMPmByT_N9DR-Zsg2V5ih2IW99ieG5lyE3F,OL_lwWXB16CJh2f60zNEV7tPJWpGz7foBH_SMCPpxDehI8gAguzazZsV,vCc3xGncChXSbFzCrq2dCavDu2cgizJ1hoyZFRNJXd9d2Tr2mdbjyk6hO2HpDDpkjRO4VyTESs89qw,4021,1731669838238,895,883,I,132,96,False,False,False,False
XUqj_Mx9eSA4qRON26DRoqRwPFHuCmoXOWVTH-NYGjl-6ng-kXCKbeTx9w,ozBkMChNXbTXvVV5yD5DFAQBPQwmn5LrYDWaCvOG__NP36plQ-fOatT8,MGruGEYN2oGcutynRXxa-Z_hRj9E-y5hc0SZvfBCfG1n_42qbhYH_mEhMvU23nfNLHrCiUURQZZ7pA,5709,1731751367028,439,882,I,286,255,False,False,False,True
