summonerId,leaguePoints,rank,wins,losses,veteran,inactive,freshBlood,hotStreak
MgfT58ywe1Dpo0PZM8XeW3o6aGYTNLLDw4bVMAYtxtZFlxE,1035,I,159,118,False,False,False,False
5tvZMuyJX9GwefyOCP_rze918_Y5II5CRNAHFpc5WFpI6Fk,1031,I,283,241,True,False,False,False
vuWNLO7aaqDG-YDIH-w0jPlsSsE1pc_fqN23ny0S1t4nSvepho6gTPg0Qg,1031,I,165,123,True,False,False,False
efj_25d4BNnCzJmSCXISeY5-l1Km5tY-rpzGay_tLcYb6Q,1030,I,346,311,False,False,False,False
qCUklOFotysM_HlFg5UUGoEWwNkXcu5g7hAXxKIYOse3Yzv80cvoHFAGkQ,1030,I,236,197,False,False,False,False
TaQw6p8lcXE0N0rOz4xb8rqD_eMFDE5JG1mXesmCrT3dgTU,1028,I,159,124,True,False,False,False
IJSoaS53X_VcZTaK34BzzlvY5vnbmm_QP9T92lldJU9kMwxthk0U780WGQ,1026,I,157,124,True,False,False,False
CvVjahipIhZqewOqwTdJ1Q3V7iN0DiBdGV1VZsM1JtL6xoE,1024,I,244,208,True,False,False,False
LYUqr_XGtzFaQdKoamgX_zKLgiZ2_WwJKcAQpln3Sd6ZLRc,1024,I,224,180,False,False,False,False
ljaAaTOS4PClfWPgw1s3g6U-c30JKQSpnLLLQuiVoEgz1G4,1023,I,129,92,True,False,False,False
wmzixTWTgs2Eacjh1YmwZpOneMextiwIc6VOyA5ouK-7RShcEzbxWKXhzA,1018,I,198,157,False,False,True,True
A5rWjRRQoykyB18eG9dpOOxHhhdyn4TXoysDvA5ujAZQk4ZbvxEAdxbU8w,1017,I,207,171,True,False,False,True
LIrnSS4cSv8FzjN-0Y3So3nexDh3wSK3s9VxopmiioQ-P0Yq9quQWODIew,1017,I,197,165,False,False,False,True
cm82uHZ8utFbJZCfqXsw3tBWHdU3IQqGGQqo4oYbYwcJfd2IKd0Bsb2iyQ,1016,I,233,199,False,False,False,False
EqzvlYaQAE3VW2ih3k20p_GZCUo1fSxyj0FjkmAt18OgerQ,1016,I,182,142,True,False,False,False
T1mrZmU6z1YNFY1kezC24orvVpbBmkJtqbXeDJ8o4KAZQsGpKY2Pou5-5g,1016,I,151,108,False,False,False,True
